kind,emd_a,pdb_a,chain_a,len_a,emd_b,pdb_b,chain_b,len_b,fident
homolog,0211,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0211/6he7.pdb,1,202,0781,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0781/6kwy.pdb,K,263,0.320
homolog,0332,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0332/6i2k.pdb,B,254,0870,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0870/6lbo.pdb,B,245,0.502
homolog,0857,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0857/6la6.pdb,A,285,0887,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0887/6lha.pdb,A,297,0.393
homolog,0859,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0859/6lao.pdb,A,285,0889,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0889/6lhc.pdb,A,297,0.393
homolog,0183,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0183/6hbj.pdb,C,239,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,C,242,0.477
homolog,0870,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0870/6lbo.pdb,C,231,0889,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0889/6lhc.pdb,C,242,0.465
homolog,0038,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0038/6gml.pdb,E,210,0241,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0241/6hls.pdb,E,215,0.445
homolog,0565,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0565/6o06.pdb,B,254,0943,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0943/6lqd.pdb,B,254,0.517
homolog,0871,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0871/6lbq.pdb,C,231,0943,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0943/6lqd.pdb,C,242,0.471
homolog,0188,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0188/6hbl.pdb,C,239,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,C,242,0.477
homolog,0857,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0857/6la6.pdb,B,251,0888,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0888/6lhb.pdb,B,254,0.532
homolog,0262,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0262/6hu9.pdb,C,385,0716,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0716/6kls.pdb,B,410,0.334
homolog,0332,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0332/6i2k.pdb,C,242,0871,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0871/6lbq.pdb,C,231,0.472
homolog,0859,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0859/6lao.pdb,A,285,0897,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0897/6lht.pdb,A,297,0.393
homolog,0279,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0279/6huj.pdb,C,495,0280,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0280/6huk.pdb,B,473,0.361
homolog,0038,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0038/6gml.pdb,H,150,0241,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0241/6hls.pdb,H,146,0.350
homolog,0181,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0181/6hbg.pdb,B,260,0887,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0887/6lha.pdb,B,254,0.540
homolog,0565,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0565/6o06.pdb,C,239,0889,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0889/6lhc.pdb,C,242,0.427
homolog,0182,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0182/6hbh.pdb,A,287,0943,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0943/6lqd.pdb,A,297,0.390
homolog,0857,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0857/6la6.pdb,C,238,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,C,242,0.466
homolog,0857,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0857/6la6.pdb,A,285,0888,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0888/6lhb.pdb,A,297,0.393
homolog,0871,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0871/6lbq.pdb,C,231,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,C,242,0.465
homolog,0894,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0894/6lhp.pdb,H,115,0917,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0917/6lmk.pdb,N,138,0.448
homolog,0859,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0859/6lao.pdb,C,238,0890,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0890/6lhk.pdb,C,242,0.466
homolog,0243,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0243/6hma.pdb,L,120,0322,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0322/6i0y.pdb,N,120,0.478
homolog,0565,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0565/6o06.pdb,A,281,0887,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0887/6lha.pdb,A,297,0.392
homolog,0871,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0871/6lbq.pdb,B,245,0888,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0888/6lhb.pdb,B,254,0.530
homolog,0279,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0279/6huj.pdb,C,495,0282,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0282/6huo.pdb,B,473,0.361
homolog,0867,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0867/6lb1.pdb,B,245,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,B,254,0.530
homolog,0182,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0182/6hbh.pdb,B,260,0887,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0887/6lha.pdb,B,254,0.540
unrelated,0038,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0038/6gml.pdb,C,271,0825,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0825/6l3t.pdb,A,279,0.000
unrelated,0854,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0854/6la3.pdb,C,238,0858,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0858/6la7.pdb,B,251,0.000
unrelated,0719,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0719/6klv.pdb,C,240,0891,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0891/6lhl.pdb,B,254,0.000
unrelated,0889,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0889/6lhc.pdb,A,297,0947,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0947/6lqj.pdb,A,285,0.000
unrelated,0322,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0322/6i0y.pdb,B,118,0586,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0586/6o1d.pdb,D,126,0.000
unrelated,0857,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0857/6la6.pdb,B,251,0894,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0894/6lhp.pdb,C,242,0.000
unrelated,0692,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0692/6j6q.pdb,B,246,0854,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0854/6la3.pdb,C,238,0.000
unrelated,0281,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0281/6hum.pdb,K,237,0855,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0855/6la4.pdb,B,251,0.000
unrelated,0188,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0188/6hbl.pdb,B,260,0361,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0361/6n7r.pdb,I,261,0.000
unrelated,0279,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0279/6huj.pdb,B,473,0935,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0935/6lo8.pdb,B,478,0.000
unrelated,0870,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0870/6lbo.pdb,A,226,0943,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0943/6lqd.pdb,B,254,0.000
unrelated,0867,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0867/6lb1.pdb,C,231,0937,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0937/6loe.pdb,A,226,0.000
unrelated,0188,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0188/6hbl.pdb,A,287,0591,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0591/6o1l.pdb,A,262,0.000
unrelated,0856,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0856/6la5.pdb,A,285,0944,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0944/6lqg.pdb,C,265,0.000
unrelated,0691,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0691/6j6n.pdb,b,238,0890,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0890/6lhk.pdb,C,242,0.000
unrelated,0888,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0888/6lhb.pdb,B,254,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,C,242,0.000
unrelated,0645,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0645/6o7u.pdb,c,213,0692,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0692/6j6q.pdb,k,196,0.000
unrelated,0849,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0849/6l7o.pdb,K,237,0957,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0957/6lr4.pdb,C,265,0.000
unrelated,0004,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0004/6giq.pdb,E,215,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,B,254,0.000
unrelated,0943,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0943/6lqd.pdb,C,242,0981,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0981/6lum.pdb,B,261,0.000
unrelated,0332,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0332/6i2k.pdb,B,254,0781,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0781/6kwy.pdb,A,234,0.000
unrelated,0686,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0686/6j6g.pdb,Q,364,0936,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0936/6lod.pdb,F,414,0.000
unrelated,0719,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0719/6klv.pdb,C,240,0890,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0890/6lhk.pdb,B,254,0.000
unrelated,0128,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0128/6h25.pdb,F,276,0645,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0645/6o7u.pdb,b,265,0.000
unrelated,0200,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0200/6hd1.pdb,A,459,0687,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0687/6j6h.pdb,n,455,0.000
unrelated,0458,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0458/6nn6.pdb,I,145,0977,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0977/6lu1.pdb,D,139,0.000
unrelated,0842,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0842/6l7c.pdb,A,277,0855,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0855/6la4.pdb,B,251,0.000
unrelated,0692,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0692/6j6q.pdb,b,238,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,C,242,0.000
unrelated,0031,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0031/6gmh.pdb,W,305,0862,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0862/6lar.pdb,D,309,0.000
unrelated,0855,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0855/6la4.pdb,C,238,0981,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0981/6lum.pdb,B,261,0.000
unrelated,0947,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0947/6lqj.pdb,A,285,0957,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0957/6lr4.pdb,C,265,0.000
unrelated,0687,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0687/6j6h.pdb,I,215,0943,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0943/6lqd.pdb,B,254,0.000
unrelated,0243,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0243/6hma.pdb,N,116,0402,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0402/6nb4.pdb,H,127,0.000
unrelated,0692,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0692/6j6q.pdb,B,246,0860,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0860/6lap.pdb,B,245,0.000
unrelated,0458,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0458/6nn6.pdb,D,124,0849,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0849/6l7o.pdb,C,132,0.000
unrelated,0781,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0781/6kwy.pdb,H,277,0889,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0889/6lhc.pdb,A,297,0.000
unrelated,0957,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0957/6lr4.pdb,C,265,0981,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0981/6lum.pdb,B,261,0.000
unrelated,0200,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0200/6hd1.pdb,A,459,0425,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0425/6nbx.pdb,D,529,0.000
unrelated,0892,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0892/6lho.pdb,B,254,0894,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0894/6lhp.pdb,C,242,0.000
unrelated,0089,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0089/6gyb.pdb,B,255,0855,/mnt/main0/projects/hypernetworks-for-cryo-em/cryo2structdata-3A/full/0855/6la4.pdb,C,238,0.000
